"Alltransport  24 Umzüge Hannover

Telefon: 0511 782169   E-Mail: info@alltransport24.de",,,,,,,,
UMZUGSGUTLISTE,,,,,,,,
"
Name, Vorname_____________________________________

Beladeadresse:______________________________________
____________________________________________________
____________________________________________________
Etage: _________ Mit Fahrstuhl:  Ja  □    Nein□
Halteverbot Schilder Einrichten:  Ja  □    Nein□
Tragewege vorhanden:  Ja □  Nein □

",,,,,"
Entladeadresse:______________________________________
____________________________________________________
____________________________________________________

Etage: _________ Mit Fahrstuhl:  Ja  □    Nein□
Halteverbot Schilder Einrichten:  Ja  □    Nein□
Tragewege vorhanden:  Ja □  Nein □

",,,
,,,,,,,,
Stück,Gegenstand,RE,Ges. RE, ,Stück,Gegenstand,RE,Ges. RE
Wohnzimmer,,,,,Schlafzimmer,,,
,Anbauwand b. 38cm Tiefe je angef. m,8,0,,,Bettumbau,3,0
,Anbauwand ü. 38cm Tiefe je angef. m,10,0,,,Bettzeug je Betteinheit,3,0
,"Bilder bis 0,8 m",1,0,,,"Bilder bis 0,8 m",1,0
,"Bilder über 0,8 m",2,0,,,"Bilder über 0,8 m",2,0
,Brücke,1,0,,,Deckenlampe,2,0
,Bücherregal zerlegbar je angef. m,4,0,,,Doppelbett komplett,20,0
,Buffet mit Aufsatz,18,0,,,Einzelbett komplett,10,0
,Buffet ohne Aufsatz,15,0,,,Fernseher,3,0
,Deckenlampe,2,0,,,französisches Bett komplett,15,0
,Fernseher,3,0,,,Frisierkommode (mit Spiegel),6,0
,Flügel,20,0,,,Kleiderbehältnis,6,0
,Heimorgel,10,0,,,Kommode,7,0
,Klavier,15,0,,,Nachttisch,2,0
,Lüster,5,0,,,"Schrank bis 2 Türen, nicht zerlegbar",15,0
,Musikschrank / Turm,4,0,,,Schrank zerlegbar je angefang. m,8,0
,Nähmaschine (Schrank),4,0,,,"Spiegel über 0,8 m",1,0
,"Schreibtisch bis 1,6 m",12,0,,,"Stuhl, Hocker",2,0
,"Schreibtisch über 1,6 m",17,0,,,Teppich,3,0
,Sessel mit Armlehnen,8,0,,,TV-Schrank,4,0
,Sessel ohne Armlehnen,4,0,,,Wäschetruhe,3,0
,Sideboard groß,12,0,,,Umzugskarton bis 80 l (gepackt),1,0
,Sideboard klein,6,0,,,Umzugskarton über 80 l (gepackt),1.5,0
,"Sitzlandschaft (Element), je Sitz",4,0,,Esszimmer,,,
,"Sofa, Couch, Liege, je Sitz",4,0,,,"Bilder bis 0,8 m",1,0
,Standuhr,4,0,,,"Bilder über 0,8 m",2,0
,Stehlampe,2,0,,,Brücke,1,0
,Stereoanlage,4,0,,,Deckenlampe,2,0
,Stuhl,2,0,,,Eckbank je Sitz,2,0
,Stuhl mit Armlehnen,3,0,,,Hausbar,5,0
,Teppich,3,0,,,Sekretär,12,0
,"Tisch bis 0,6 m",4,0,,,Sideboard groß,12,0
,"Tisch bis 1,0 m",5,0,,,Sideboard klein,6,0
,"Tisch bis 1,2 m",6,0,,,Stehlampe,2,0
,"Tisch über 1,2 m",8,0,,,Stuhl,2,0
,TV-Schrank,4,0,,,Stuhl mit Armlehnen,3,0
,Video / DVD-Player,1,0,,,Teewagen (nicht zerlegbar),4,0
,Wohnz.-Schrank zerlegb. je angef. m,8,0,,,Teppich,3,0
,Umzugskarton bis 80 l (gepackt),1,0,,,"Tisch bis 0,6 m",4,0
,Umzugskarton über 80 l (gepackt),1.5,0,,,"Tisch bis 1,0 m",5,0
Kinderzimmer,,,,,,"Tisch bis 1,2 m",6,0
,Anbauwand b. 38cm Tiefe je ang. m,8,0,,,"Tisch über 1,2 m",8,0
,Anbauwand ü. 38cm Tiefe je ang. m,10,0,,,Vitrine (Glasschrank),10,0
,Bett komplett,10,0,,,Umzugskarton bis 80 l (gepackt),1,0
,Bettzeug je Betteinheit,3,0,,,Umzugskarton über 80 l (gepackt),1.5,0
,Brücke,1,0,,Küche,,,
,Deckenlampe,2,0,,,Arbeitsplatte nicht unterb. je angef. m,1,0
,Etagenbett komplett,16,0,,,Besenschrank,6,0
,Kinderbett komplett,5,0,,,Buffet mit Aufsätzen,18,0
,Kleiderbehältnis,6,0,,,Deckenlampe,2,0
,Kommode,7,0,,,Eckbank je Sitz,2,0
,Laufgitter,1,0,,,Geschirrspülmaschine,5,0
,Nachttisch,2,0,,,Herd,5,0
,Schrank bis 2 Türen nicht zerlegbar,15,0,,,Kühlschrank / Truhe bis 120 l,5,0
,Schrank zerlegbar je angef. m,8,0,,,Kühlschrank / Truhe über 120 l,10,0
,Schreibpult,7,0,,,Mikrowelle,2,0
,Spielzeugkiste,4,0,,,Oberteil je Tür,4,0
,"Stuhl, Hocker",2,0,,,Stuhl,2,0
,Teppich,3,0,,,Teppich,3,0
,"Tisch bis 0,6 m",4,0,,,"Tisch bis 0,6 m",4,0
,"Tisch bis 1,0 m",5,0,,,"Tisch bis 1,0 m",5,0
,"Tisch bis 1,2 m",6,0,,,"Tisch bis 1,2 m",6,0
,"Tisch über 1,2 m",8,0,,,"Tisch über 1,2 m",8,0
,Umzugskarton bis 80 l (gepackt),1,0,,,Unterteil je Tür,4,0
,Umzugskarton über 80 l (gepackt),1.5,0,,,Waschmaschine / Trockner,5,0
Weitere Zimmer,,,,,,Umzugskarton bis 80 l (gepackt),1,0
,Aktenschrank je angefangener m,8,0,,,Umzugskarton über 80 l (gepackt),1.5,0
,Brücke,1,0,,Sonstiges,,,
,Bücherregal zerlegbar je angef. m,4,0,,,Autoreifen,1,0
,Computer: PC / EDV - Anlage,5,0,,,Blumenkübel / Kasten,1,0
,Deckenlampe,2,0,,,Bügelbrett,1,0
,"Schreibtisch bis 1,6 m",8,0,,,Dreirad / Kinderrad,2,0
,"Schreibtisch über 1,6 m",12,0,,,Fahrrad / Moped,5,0
,Schreibtischcontainer,3,0,,,Gartengeräte,2,0
,Schreibtischstuhl,3,0,,,Gartengrill,4,0
,Sessel mit Armlehnen,8,0,,,Kinderwagen,5,0
,Sessel ohne Armlehnen,4,0,,,Klapptisch / Klappstuhl,2,0
,Stehlampe,2,0,,,Koffer,1,0
,Teppich,3,0,,,Leiter je angefangener m,1,0
,"Tisch bis 0,6 m",4,0,,,Motorrad,8,0
,"Tisch bis 1,0 m",5,0,,,Mülltonne,2,0
,"Tisch bis 1,2 m",6,0,,,Rasenmäher Hand,2,0
,"Tisch über 1,2 m",8,0,,,Rasenmäher Motor,5,0
